p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene
0.943703096,0.394631723,0.119,0.162,1,NFS1
0.943748492,-0.208614434,0.226,0.324,1,GNA11
0.943777182,-0.126708927,0.357,0.541,1,COPB1
0.9438655,-0.651615103,0.131,0.162,1,MTERF2
0.94390615,0.545067842,0.167,0.216,1,USP5
0.943955813,-0.307894491,0.089,0.135,1,GTF2H2C
0.94415629,0.676616938,0.095,0.135,1,AIMP2
0.944186813,0.268426678,0.31,0.351,1,MAML2
0.944216981,-0.039811019,0.113,0.189,1,ZNF384
0.944229492,0.06608899,0.333,0.351,1,TMSB4X
0.944388151,0.070300565,0.119,0.162,1,POLD4
0.944439414,-0.648635226,0.101,0.135,1,NSMCE3
0.944501484,-0.323276215,0.137,0.162,1,MVK
0.944743189,-0.221335753,0.28,0.432,1,VCP
0.944743798,0.236195369,0.071,0.108,1,HLCS
0.944883148,0.024076547,0.065,0.108,1,POT1
0.945014048,-0.585552535,0.149,0.27,1,PSME3
0.945062093,-0.12398057,0.107,0.162,1,TAF13
0.945067257,0.056058865,0.119,0.162,1,CNOT6
0.945086044,0.027283549,0.363,0.486,1,ITPR1
0.945118013,0.070963986,0.393,0.486,1,CDH1
0.945124187,0.20867396,0.238,0.324,1,ARID4B
0.945198889,-0.071845448,0.083,0.108,1,DSE
0.945204307,-0.936680861,0.065,0.108,1,RARA
0.945214973,-0.565815734,0.083,0.135,1,GLCE
0.945264863,0.393023827,0.089,0.108,1,DNM3
0.945309345,-0.197145225,0.333,0.459,1,SMIM14
0.945345403,0.210803142,0.113,0.162,1,ADPGK
0.945415828,0.406289507,0.137,0.189,1,TFCP2
0.945466605,-0.317981393,0.214,0.27,1,MALSU1
0.945580336,0.236908197,0.768,0.838,1,CLCN5
0.945777122,0.02188781,0.19,0.243,1,ZBED5
0.945824568,0.20899889,0.131,0.189,1,SNAPIN
0.94587763,-0.191053171,0.19,0.297,1,SPIRE1
0.946267317,0.515375483,0.149,0.189,1,COG2
0.946274227,0.222817909,0.238,0.297,1,ALDOA
0.946303584,0.25050682,0.149,0.162,1,RHOT1
